Fecha de muestreo ,Punto de Muestreo,Profundidad secchi (m),Zona fótica (m),pH,Temperatura Media      (°C),OD                        (mg/l),%OD,Conductividad (us/cm),Redox,Fósforo Total     (ug/L P- PO4- ),Nitratos             (ug/L N-NO3-),N. amonical             (ug/L N-NH4+),Manganeso          (mg/l),Color Real (PtCo),Turbiedad (NTU),N total              (mg/l),TOC                  (mg/l),"UV 
(cm-1)",SUVA,Clorofila-a            (ug/l),Feopigmentos,Algas eucariotas totales (cél/ml),Cianobacterias totales (cél/ml),Coliformes totales,E.coli,F- N,CL- N,NO2- N,NO3- N,PO4- N,SO4- N,NH4+ N,K N,NT N,NT Orgánico N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-12,Presa,2.56,6.92,8.6,20.30,9.0,129.30,38.5,48.0,ND,202.480,104.650,0.041,14,2,0.390,2.8845,-,#VALUE!,4.15,0.00,65,0,-,-,0.029,3.145,0.058,0.548,-,1.964,0.135,1.364,0.390,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-12,Potreros,2.60,7.03,7.4,21.00,7.6,110.20,39.5,117.3,ND,149.440,55.810,0.055,9,3,0.365,2.5058,-,#VALUE!,2.37,-0.30,10,0,-,-,0.021,3.35,0.044,0.532,-,1.907,0.072,1.037,0.365,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-12,Palmas-Esp.Santo,#VALUE!,#VALUE!,7.4,21.10,7.6,111.50,43.6,116.3,-,169.530,75.970,0.030,9,2,0.352,2.2957,-,#VALUE!,1.18,2.55,5,0,-,-,0.025,3.742,0.049,0.555,-,2.233,0.098,1.044,0.352,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-12,Descarga Bombeo,2.74,7.41,8.8,21.20,8.7,127.90,37.8,93.3,-,159.140,67.440,0.022,11,1,0.396,2.8229,-,#VALUE!,7.11,-0.06,2,0,17329,4611,0.019,2.817,0.042,0.499,-,1.741,0.087,1.130,0.396,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-12,Torre Superficial,1.60,4.33,9.8,21.30,-,-,49.8,111.7,40,28.670,24.030,0.012,<2,5,0.203,2.0294,0.054,2.7,43.24,2.37,503,0,3448,345,0.020,3.228,0.004,0.127,0.002,2.455,0.031,6.164,0.203,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-12,Torre Media,1.60,4.33,7.9,19.10,-,-,49.9,186.5,40,76.520,50.390,0.020,<2,4,0.290,1.6856,0.060,3.6,47.98,6.75,373,0,-,-,0.019,3.989,0.004,0.339,0.004,2.889,0.065,4.091,0.290,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-12,Torre Profunda,1.60,4.33,6.6,17.50,-,-,45.9,220.8,30,172.460,53.490,0.053,<2,4,0.446,2.2315,0.068,3.0,5.92,-0.12,23,0,-,-,0.022,3.418,0.002,0.764,0.003,2.653,0.069,3.639,0.446,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-12,Presa,1.80,4.87,9.9,21.50,-,-,50.3,104.7,100,148.760,91.470,0.036,<2,5,0.410,2.2460,0.070,3.1,21.32,29.68,290,0,-,-,0.022,3.491,0.006,0.659,0.002,2.391,0.118,62.751,0.410,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-12,Potreros,1.95,5.27,9.5,21.60,-,-,46.0,92.3,70,37.700,62.010,0.013,<2,4,0.221,1.9389,0.058,3.0,29.62,3.55,290,0,-,-,0.019,3.221,0.003,0.167,0.003,2.407,0.080,16.669,0.221,0.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-12,Palmas-Esp.Santo,#VALUE!,#VALUE!,9.8,21.40,-,-,50.0,93.0,70,44.240,29.460,0.014,<2,2,0.270,1.7263,0.063,3.6,12.44,-0.83,50,0,-,-,0.019,3.475,0.004,0.196,-,2.592,0.038,7.873,0.271,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-12,Descarga Bombeo,2.10,5.68,9.9,22.80,-,-,49.0,58.2,50,20.770,0.000,0.018,<2,3,0.236,1.9836,0.067,3.4,41.46,4.15,235,0,1450,530,0.020,2.971,0.004,0.092,-,2.238,-,111.860,0.236,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul-12,Torre Superficial,1.27,3.44,9.5,21.00,8.9,128.40,49.6,104.3,80,29.120,9.300,0.009,6,5,0.172,2.1867,0.060,2.7,120.84,-11.79,807,0,2755,345,0.031,3.141,0.003,0.129,-,1.918,0.012,2.767,0.172,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-12,Torre Media,1.27,3.44,6.9,18.70,3.7,52.60,59.3,205.4,30,127.100,17.830,0.025,<2,5,0.306,2.1757,0.050,2.3,51.53,-8.83,198,0,-,-,0.021,4.212,0.005,0.563,-,2.598,0.023,1.166,0.306,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul-12,Torre Profunda,1.27,3.44,6.8,18.40,3.6,50.00,52.1,198.6,30,114.770,26.360,0.039,<2,7,0.314,2.1592,0.050,2.3,41.46,-9.95,35,0,-,-,0.020,3.772,0.006,0.508,-,2.327,0.034,2.269,0.314,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul-12,Presa,2.41,6.52,9.6,20.70,8.6,123.30,39.4,104.3,100,104.060,25.580,0.071,8,4,0.320,2.1386,0.050,2.3,31.99,-5.03,130,0,-,-,0.022,2.574,0.009,0.461,-,1.513,0.033,3.201,0.320,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul-12,Potreros,0.70,1.89,10.0,22.40,10.4,154.10,49.4,72.1,80,6.090,9.300,0.009,11,20,0.177,2.6802,0.050,1.9,326.97,-13.09,2100,0,-,-,0.027,2.622,-,0.027,-,1.582,0.012,1.516,0.177,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul-12,Palmas-Esp.Santo,0.56,1.51,9.8,21.60,10.4,152.40,60.5,77.5,120,26.860,11.630,0.009,3,17,0.184,2.5975,0.050,1.9,393.31,-36.31,2885,0,-,-,0.027,3.596,-,0.119,-,2.205,0.015,3.623,0.184,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul-12,Descarga Bombeo,-,#VALUE!,9.6,21.40,8.7,126.00,42.8,85.8,0,17.830,28.680,0.009,6,3,0.171,2.2413,0.050,2.2,43.83,-3.61,65,0,3448,379,0.021,2.566,0.003,0.079,-,1.591,0.037,1.124,0.171,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug-12,Torre Superficial,0.62,1.68,9.0,23.00,8.2,123.80,49.3,104.4,90,22.120,27.910,0.009,9,10,0.187,1.8380,0.135,7.3,154.01,30.09,1715,0,8804,555,0.024,3.213,0.009,0.098,0.007,1.758,0.036,0.781,0.187,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-12,Torre Media,0.62,1.68,7.0,20.30,4.6,65.40,60.7,167.4,120,110.610,0.000,0.009,4,6,0.307,1.6060,0.058,3.6,42.65,6.69,215,0,-,-,0.019,4.655,0.012,0.490,0.007,2.692,0.000,0.992,0.307,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug-12,Torre Profunda,0.62,1.68,6.7,19.00,3.3,46.10,52.7,143.9,60,145.150,76.740,0.020,<2,17,0.427,1.9510,0.064,3.3,9.48,-1.18,10,0,-,-,0.017,3.951,0.027,0.643,0.006,2.260,0.099,1.194,0.427,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug-12,Presa,1.60,4.33,10.0,22.40,10.2,151.30,51.7,83.2,100,32.730,110.080,0.067,8,13,0.229,1.6790,0.053,3.2,175.33,-22.33,370,0,-,-,0.022,2.646,0.012,0.145,0.006,1.473,0.142,0.920,0.229,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug-12,Potreros,0.72,1.95,8.0,21.30,5.2,76.97,48.1,-,40,21.900,26.360,0.009,7,7,0.166,1.7766,0.044,2.5,105.44,9.00,1155,0,-,-,0.022,3.077,0.007,0.097,-,1.766,0.034,0.813,0.166,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug-12,Palmas-Esp.Santo,0.67,1.81,9.6,22.30,8.5,126.40,50.9,-,110,41.310,36.430,0.009,2,8,0.233,1.5704,0.053,3.4,59.23,3.79,695,0,-,-,0.018,3.282,0.007,0.183,0.005,1.881,0.047,0.854,0.233,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug-12,Descarga Bombeo,1.50,4.06,9.6,22.80,8.8,132.80,44.4,107.3,70,30.920,32.560,0.009,9,11,0.243,1.7346,0.064,3.7,29.02,11.20,170,0,4884,990,0.019,2.788,0.065,0.137,0.007,1.865,0.042,0.717,0.243,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Oct-12,Torre Superficial,0.47,1.27,9.0,21.10,10.4,154.00,51.8,77.0,120,22.120,27.910,0.039,18,10,0.187,1.8380,0.135,7.3,81.74,130.14,1680,0,7700,512,0.021,3.425,0.008,0.078,0.004,2.154,-,0.746,0.464,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-12,Torre Media,0.47,1.27,7.0,19.30,5.2,73.40,42.9,135.1,50,110.610,0.000,0.043,21,6,0.307,1.6060,0.058,3.6,108.40,-16.35,475,0,-,-,0.021,3.109,0.010,0.226,0.007,1.993,0.025,0.764,0.254,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Oct-12,Torre Profunda,0.47,1.27,6.8,18.80,4.0,55.80,54.5,143.5,40,145.150,76.740,0.032,12,5,0.427,1.9510,0.064,3.3,17.77,5.03,53,0,-,-,0.018,4.563,0.010,0.285,0.007,2.795,0.039,0.782,0.234,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Oct-12,Presa,1.76,4.76,10.0,21.20,10.2,148.60,47.2,31.3,30,32.730,110.080,0.119,19,4,0.229,1.6790,0.053,3.2,-,-,160,0,-,-,0.019,2.687,0.010,0.192,0.006,1.687,0.103,0.743,0.282,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Oct-12,Potreros,0.47,1.27,-,22.40,12.8,190.90,54.5,73.0,290,21.900,26.360,0.027,17,29,0.166,1.7766,0.044,2.5,658.08,-161.35,4435,0,-,-,0.020,3.341,0.004,0.035,-,2.050,-,0.831,0.195,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Oct-12,Palmas-Esp.Santo,0.57,1.54,-,21.80,11.6,171.90,58.7,62.9,300,41.310,36.430,0.015,24,38,0.233,1.5704,0.053,3.4,714.95,-156.02,4730,0,-,-,0.021,4.771,0.008,0.052,-,2.842,-,0.838,0.195,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Oct-12,Descarga Bombeo,1.96,5.30,-,20.90,9.8,126.90,49.2,106.1,50,30.920,32.560,0.043,10,5,0.243,1.7346,0.064,3.7,90.63,-11.02,300,0,12997,3654,0.020,2.891,0.009,0.135,0.004,1.899,0.069,0.792,0.206,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-12,Torre Superficial,1.18,3.19,10.0,20.60,10.7,153.90,54.3,150.1,50,71.110,0.000,0.000,15,12,0.210,2.0288,0.056,2.8,65.72,41.06,563,0,6867,689,0.058,3.275,0.009,0.315,0.006,2.712,-,1.041,0.210,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-12,Torre Media,1.18,3.19,7.9,18.80,6.8,94.10,60.4,225.8,100,248.530,16.300,0.015,30,10,0.520,1.9774,0.060,3.0,55.18,-2.92,260,0,-,-,0.073,4.5,0.019,1.101,0.007,3.539,0.021,1.263,0.520,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-12,Torre Profunda,1.18,3.19,7.6,18.20,5.0,68.90,62.7,233.1,30,134.540,46.500,0.024,29,16,0.415,2.1007,0.060,2.9,8.11,0.41,13,0,-,-,0.026,3.945,0.035,0.596,0.003,2.851,0.060,1.398,0.415,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
